CustomerID,MonthlyCharges,TenureMonths,Churn
1,61.64079549455949,11,Yes
2,48.14743195910016,45,No
3,122.43816684400149,3,No
4,48.04891062359967,12,No
5,103.85127094651176,3,No
6,65.3886483310261,42,No
7,68.73155501284288,27,Yes
8,59.91582591718602,49,No
9,81.74255747106838,54,Yes
10,48.40338680334874,2,Yes
11,42.39506445648742,49,No
12,94.1525729406791,16,No
13,57.940414017895336,2,No
14,81.19132179309527,60,No
15,53.71815884655676,54,No
16,80.62631564341874,30,No
17,95.25319748167675,20,Yes
18,62.09317921877325,38,No
19,40.99838339821028,28,No
20,95.33190869964858,25,No
21,83.89366482287338,32,Yes
22,62.89643149343038,10,No
23,66.73071920097031,60,Yes
24,53.34021705625471,42,Yes
25,91.3038539866294,40,No
26,61.97926588284032,33,No
27,48.719371936787894,13,No
28,73.20468822268707,56,No
29,57.0997995763219,41,No
30,54.54978136205338,54,No
31,63.548511943570816,42,No
32,71.29532973250556,47,Yes
33,49.283353661278795,37,No
34,90.77723387818486,54,No
35,80.15739568098681,16,No
36,64.51955513840903,45,No
37,56.44984770554503,22,No
38,68.66161820625004,57,No
39,83.49152561133583,20,No
40,81.1687604079952,50,Yes
41,85.87756450676767,43,No
42,62.79433763529517,27,No
43,26.126122312049844,41,No
44,88.71716796874371,16,Yes
45,67.49205785391472,34,No
46,79.99249098207493,32,No
47,95.03843131960453,26,No
48,106.51612949856522,25,No
49,60.252677827887695,2,No
50,72.00939860748467,12,No
51,90.50254690908169,40,No
52,57.335814722155064,9,No
53,61.26832609314358,12,Yes
54,61.17942132311688,26,No
55,69.57864529887966,9,No
56,66.69814479565045,10,No
57,61.09307016615513,32,Yes
58,55.51363876590611,57,No
59,82.17910492592938,34,Yes
60,90.06746531449176,48,Yes
61,92.24072191258622,20,No
62,62.78389663923274,39,No
63,82.80587008385916,60,No
64,73.54488854091663,2,No
65,61.43992977080012,1,Yes
66,81.01327328062294,51,No
67,60.750924189317544,60,No
68,64.35735095827468,36,Yes
69,49.34905446244555,24,No
70,63.03668353850161,54,No
71,73.80791813521877,27,No
72,93.53401743516244,2,No
73,64.6975683069747,31,No
74,54.427462793695994,57,No
75,92.46053456401188,14,No
76,62.43171344373673,2,Yes
77,43.774275157887026,29,No
78,71.99640602705176,15,No
79,65.12839790081237,12,No
80,104.50593464027756,37,No
81,77.13049051520818,28,No
82,67.80486469517746,20,No
83,56.13254186116595,39,Yes
84,74.95250261789451,24,No
85,91.85064925092692,21,No
86,74.67721275215891,10,Yes
87,57.28855461823081,46,No
88,78.08209317627932,14,No
89,69.27089657690777,37,No
90,76.72919654977244,18,Yes
91,64.67788974723669,24,Yes
92,64.32557088608182,14,No
93,63.7333030385233,34,Yes
94,84.13357227246043,58,No
95,64.47662087138363,12,No
96,63.1040390293866,22,Yes
97,55.8690114765645,56,Yes
98,76.81020702575151,6,No
99,74.67552703196827,36,No
100,63.268476632670534,45,No
101,59.35931938663209,36,No
102,98.14260119841568,22,No
103,41.79335417312743,14,No
104,77.39758004802582,16,No
105,89.37105322324012,36,No
106,19.197793577675498,56,No
107,81.9121009011427,25,No
108,66.69618097755868,32,Yes
109,73.84082296424889,33,No
110,65.15143053216865,45,Yes
111,86.13090168469115,36,Yes
112,75.44679012507036,20,No
113,71.97579834301473,18,No
114,56.51709089562111,38,No
115,98.23438350751283,3,No
116,70.14896529599906,23,No
117,104.34708696190688,32,Yes
118,98.91354077767292,45,No
119,43.32473549101929,59,No
120,60.175810587959646,16,No
121,54.445734910375876,59,No
122,69.27690877769406,5,Yes
123,72.80746030729243,4,No
124,73.44889701840145,21,No
125,85.81193014028469,40,No
126,92.40374153963305,51,No
127,84.51231623857959,14,No
128,61.585971786643796,39,No
129,58.26964202338841,31,No
130,70.04142753825904,14,No
131,76.39179289606992,6,Yes
132,67.25212981424316,12,Yes
133,49.817727456216666,16,No
134,80.23089262865201,17,Yes
135,64.11527846899145,45,Yes
136,63.66230898366935,23,No
137,69.18080988912861,14,No
138,66.40151624379759,7,No
139,64.50248416731847,46,Yes
140,50.79812039600216,32,Yes
141,68.31628799572512,15,Yes
142,80.54430687860301,44,No
143,73.96966007681934,17,No
144,84.22182158650968,41,No
145,59.0718246651999,54,Yes
146,50.82912281323298,47,No
147,66.31225031533005,44,No
148,60.78645072176954,34,No
149,62.34497525188378,5,No
150,73.17624577121691,45,No
151,62.453791913430166,27,Yes
152,51.24897266190409,52,Yes
153,61.61507908177003,23,No
154,75.10089050291202,40,Yes
155,80.07220901510377,59,Yes
156,79.9213417612502,14,Yes
157,76.36709641371864,15,Yes
158,67.47859801052134,43,No
159,76.07371148438695,33,No
160,69.36496512702644,53,No
161,71.69644206730356,31,No
162,55.910098932010904,35,No
163,70.65812445641073,17,No
164,75.67999351377118,28,No
165,75.11690970159563,19,No
166,50.68721460911053,46,Yes
167,71.44391164605074,54,No
168,48.341656338041304,23,No
169,72.60514969207789,32,No
170,59.47994212595929,40,No
171,95.58464413788167,13,No
172,71.78864993943836,59,No
173,82.01746029735884,20,Yes
174,101.6630895553642,35,No
175,57.73897283366919,5,No
176,76.53512366358866,9,No
177,52.21133486150731,29,Yes
178,75.1734551237488,6,No
179,96.48563899675605,25,No
180,60.581751783373164,31,Yes
181,56.71068530058106,22,No
182,68.63238649722155,2,Yes
183,100.68725932132429,45,No
184,81.56558379929882,5,No
185,56.42628021915984,60,No
186,91.82590873722654,27,Yes
187,45.1740551150022,25,No
188,102.04838693204087,8,Yes
189,82.84676020022738,55,Yes
190,96.45336160010078,1,Yes
191,45.28302837423947,20,Yes
192,72.54162746289529,44,No
193,67.99166610151427,23,Yes
194,54.89530789830039,32,No
195,50.55964569622912,11,No
196,77.60621888139323,39,No
197,78.96597562170436,47,No
198,89.4996107008863,54,No
199,62.44868420009754,24,No
200,67.87585284766286,11,Yes
201,49.26310112580862,29,No
202,93.11178717992124,54,Yes
203,71.04322131635864,26,Yes
204,80.83882752430158,16,Yes
205,81.36858094166519,35,No
206,91.88660735952968,20,Yes
207,57.5290079909882,46,No
208,80.46379900520768,3,Yes
209,69.62486940536438,1,No
210,101.58515599510946,58,Yes
211,57.48453731505975,53,Yes
212,87.57139521645809,47,No
213,75.25512668842596,1,Yes
214,74.46784141309033,17,No
215,70.81031089071234,2,No
216,90.19998734255181,29,Yes
217,73.95777551610902,20,No
218,47.133769928185345,6,Yes
219,88.29255353068368,8,No
220,85.54302748197583,29,Yes
221,78.80706526319271,48,No
222,53.0728955537868,51,Yes
223,55.4032695966802,33,No
224,41.83835672145837,3,No
225,76.9049480976972,60,No
226,49.756767277384455,35,No
227,44.21873660706753,5,No
228,89.12483678950065,27,No
229,81.52269346694271,44,Yes
230,65.00242502753609,12,Yes
231,67.98930125114207,20,Yes
232,33.88983689524087,45,No
233,83.75117378588831,20,No
234,59.60902803266974,9,No
235,74.95436294699711,39,Yes
236,32.67156607312774,4,No
237,84.66352048242318,51,Yes
238,58.70732845921414,54,No
239,49.35936604315968,19,No
240,64.90597548267449,38,No
241,61.05407173096772,27,No
242,86.11401419364799,45,No
243,63.69407316457559,43,Yes
244,90.43925539920052,13,No
245,74.95213923683609,13,Yes
246,83.41551830818563,60,No
247,69.9675032015817,57,No
248,89.08088473509825,22,Yes
249,52.69564014575986,28,Yes
250,71.7043668624149,52,No
251,64.05346255852878,47,No
252,90.94942719260968,53,No
253,92.48551606989139,45,Yes
254,70.00631888855678,22,Yes
255,50.62733348356292,43,No
256,76.40645975187502,19,No
257,45.0308539744935,8,Yes
258,94.39214198174668,52,No
259,62.90244894045942,8,Yes
260,69.54144754873757,42,No
261,59.78573386289869,26,No
262,56.47327619948769,48,No
263,81.05936974820578,51,No
264,67.62074984423018,26,No
265,70.63723808384763,23,Yes
266,54.94163381171741,43,Yes
267,82.8408883524556,13,No
268,84.366846027053,28,No
269,66.86607269680634,9,No
